#		kind		keyword		offsets		linecol		text
0		Ident		Unknown		000:001		001:001		"a"
1		Space		Unknown		001:002		001:002		" "
2		Ident		Unknown		002:003		001:003		"b"
3		Space		Unknown		003:004		001:004		" "
4		Ident		Unknown		004:005		001:005		"c"
5		Space		Unknown		005:006		001:006		"\n"
6		Ident		String		006:012		002:001		"string"
7		Space		Unknown		012:013		002:007		" "
8		Ident		Message		013:020		002:008		"message"
9		Space		Unknown		020:021		002:015		"\n"
10		Ident		Unknown		021:028		003:001		"foo_bar"
11		Space		Unknown		028:029		003:008		" "
12		Ident		Unknown		029:035		003:009		"fooBar"
13		Space		Unknown		035:036		003:015		"\n"
14		Ident		Unknown		036:037		004:001		"_"
15		Space		Unknown		037:038		004:002		" "
16		Ident		Unknown		038:040		004:003		"__"
17		Space		Unknown		040:041		004:005		" "
18		Ident		Unknown		041:045		004:006		"____"
19		Space		Unknown		045:046		004:010		"\n"
20		Ident		Unknown		046:055		005:001		"__snake__"
21		Space		Unknown		055:056		005:010		"\n"
22		Ident		Unknown		056:065		006:001		"SCREAMING"
23		Space		Unknown		065:066		006:010		"\n"
24		Ident		Unknown		066:092		007:001		"abcdefghijklmnopqrstuvwxyz"
25		Space		Unknown		092:093		007:027		"\n"
26		Ident		Unknown		093:119		008:001		"ABCDEFGHIJKLMNOPQRSTUVWXYZ"
27		Space		Unknown		119:120		008:027		"\n"
28		Ident		Unknown		120:131		009:001		"_0123456789"
29		Space		Unknown		131:132		009:012		"\n"
30		Ident		Unknown		132:135		010:001		"_0_"
